,top1,top2,top5,top7,top10,acc,r_loss
2/epoch:7/set:test/distance:<function pearson_sim at 0x7f614049ee60>,"5,3014","11,1499","27,5823","38,5624","52,5516","0,5264","0,5029"
2/epoch:8/set:test/distance:<function pearson_sim at 0x7f614049ee60>,"5,3957","11,2442","27,9785","38,7699","52,8252","0,5278","0,5014"
2/epoch:9/set:test/distance:<function pearson_sim at 0x7f614049ee60>,"5,3486","11,2725","28,3558","39,0152","52,9478","0,5290","0,5000"
2/epoch:1/set:val/distance:<function eu_distance at 0x7f614049ef50>,"7,6852","14,6576","33,9634","44,6855","57,0499","0,5919","0,4310"
2/epoch:2/set:val/distance:<function eu_distance at 0x7f614049ef50>,"7,0034","14,9055","32,7549","43,7558","55,3765","0,5915","0,4323"
2/epoch:3/set:val/distance:<function eu_distance at 0x7f614049ef50>,"5,3610","11,0939","28,4785","39,1075","52,4326","0,5486","0,4780"
2/epoch:4/set:val/distance:<function eu_distance at 0x7f614049ef50>,"6,6935","12,0855","28,8813","39,7273","52,8045","0,5488","0,4773"
2/epoch:5/set:val/distance:<function eu_distance at 0x7f614049ef50>,"6,1667","11,8376","28,9123","39,8822","51,8748","0,5474","0,4782"
2/epoch:6/set:val/distance:<function eu_distance at 0x7f614049ef50>,"7,0034","13,2941","33,4056","43,8178","56,3991","0,5829","0,4409"
2/epoch:7/set:val/distance:<function eu_distance at 0x7f614049ef50>,"6,8485","12,4574","28,2306","39,6963","53,1453","0,5491","0,4778"
2/epoch:8/set:val/distance:<function eu_distance at 0x7f614049ef50>,"5,7639","11,4658","26,6811","37,8680","51,8128","0,5364","0,4904"
2/epoch:9/set:val/distance:<function eu_distance at 0x7f614049ef50>,"6,7245","13,2631","32,7859","44,0347","56,2752","0,5770","0,4469"
2/epoch:1/set:test/distance:<function eu_distance at 0x7f614049ef50>,"7,6597","14,5458","33,9591","45,1278","57,2587","0,5769","0,4496"
2/epoch:2/set:test/distance:<function eu_distance at 0x7f614049ef50>,"7,4333","14,7911","33,6006","44,2788","56,6928","0,5770","0,4497"
2/epoch:3/set:test/distance:<function eu_distance at 0x7f614049ef50>,"5,9428","11,5272","30,5254","41,3074","53,9949","0,5443","0,4842"
2/epoch:4/set:test/distance:<function eu_distance at 0x7f614049ef50>,"6,7163","12,6686","30,4122","41,5904","54,3345","0,5463","0,4821"
2/epoch:5/set:test/distance:<function eu_distance at 0x7f614049ef50>,"6,1975","12,2441","30,2330","41,3546","53,8062","0,5429","0,4856"
2/epoch:6/set:test/distance:<function eu_distance at 0x7f614049ef50>,"6,9239","13,1874","32,8271","44,0713","57,3436","0,5673","0,4598"
2/epoch:7/set:test/distance:<function eu_distance at 0x7f614049ef50>,"6,5654","12,5932","30,0915","41,1848","54,4571","0,5465","0,4827"
2/epoch:8/set:test/distance:<function eu_distance at 0x7f614049ef50>,"5,4995","11,4329","28,8841","39,7604","53,6742","0,5366","0,4922"
2/epoch:9/set:test/distance:<function eu_distance at 0x7f614049ef50>,"6,4522","12,9988","32,7988","44,2694","56,8248","0,5659","0,4612"
